Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бгиденко,Любов,Петрівна,жіноча,1967-07-04,Маркетолог,місто Вугледар,"набережна Велика Садова, буд. 4, Калинівка , 95815",028 881 34 76,fartushniakonysym@example.net
Байдак,Олександр,Іванович,чоловіча,1938-07-11,Акушер,місто Конотоп,"провулок Сосюри, буд. 71, Миколаївка , 09974",045 892-42-71,milena94@example.org
Христенко,Лариса,Федорівна,жіноча,1950-07-26,Секретар,селище Світлодарськ,"провулок Комітетська, буд. 6 кв. 3, Тальне, 28229",+380 66 818-98-92,hivanchenko@example.com
Штепа,Георгій,Тарасович,чоловіча,1935-05-15,Кухар,селище Ровеньки,"площа Некрасова, буд. 6 кв. 21, Ананьїв, 21042",+380 02 720 08 64,bovcharenko@example.com
Нестайко,Давид,Андрійович,чоловіча,1958-09-11,Паралегал,село Лозова ,"набережна Штурвальна, буд. 5 кв. 557, Прип'ять , 38568",+380 71 598-60-84,ostap25@example.com
Ткач,Богданна,Дмитрівна,жіноча,1968-04-08,Кіноактор,село Носівка,"набережна Онезька, буд. 645, Калуш, 35225",+380 96 042 95 22,bohuslavizhakevych@example.com
Гаврилів,Оксана,Сергіївна,жіноча,1941-11-02,Золотар,селище Моспине,"шосе Задніпровського, буд. 22 кв. 881, Зміїв, 76359",097 131-16-20,ada88@example.com
Джус,Клавдія,Миколаївна,жіноча,1953-04-23,Архітектор,хутір Остер ,"вулиця Чумацька, буд. 011, Красилів, 99518",067 571 80 12,iermolenkoliudmyla@example.net
Джус,Богодар,Іванович,чоловіча,1989-05-16,М'ясник,хутір Хуст,"парк Бабеля, буд. 18, Кам'янка (Черкаська область), 15356",+380 30 102-77-91,nataliia06@example.org
Прокопович,Августин,Тарасович,чоловіча,1997-02-03,Бухгалтер,село Роздільна,"набережна Луганська, буд. 393, Моршин, 23488",534 11 19,skorykoryna@example.org
Артюшенко,Болеслав,Євгенович,чоловіча,1999-06-18,Няня,хутір Южне,"шосе Локомотивна, буд. 81 кв. 707, Новоазовськ, 26753",+380 63 201 28 59,bshtepa@example.net
Уманець,Макар,Андрійович,чоловіча,2007-08-11,Електромонтажник,селище Васильків,"набережна Лазурний 3-й, буд. 09, Рахів, 86391",+380 (97) 037-52-35,efesenko@example.com
Бевз,Онисим,Юрійович,чоловіча,1929-12-05,Програміст,селище Жовті Води,"проспект Друга, буд. 3, Українка , 40428",065-19-59,zakharchenkobohuslava@example.net
Бабариченко,Азар,Русланович,чоловіча,1929-01-07,Няня,село Балаклія,"площа Угорська, буд. 0, Волочиськ, 71509",+380 42 045 94 53,ihnatzhadan@example.com
Ґалаґан,Гліб,Андрійович,чоловіча,1991-05-11,Біолог,місто Збараж,"провулок Дніпровська, буд. 179, Рава-Руська, 61593",+380 73 178 70 13,iustyna69@example.com
Бабак,Левко,Леонідович,чоловіча,1934-05-02,Гірничий інженер,місто Покров,"сквер Північна, буд. 86 кв. 03, Мерефа, 04390",015 689 02 57,orlykemiliia@example.net
Теличенко,Амвросій,Іванович,чоловіча,1983-08-19,Електротехнік,хутір Ірміно,"проспект Мінська, буд. 75, Добропілля, 71314",+380 59 342 50 84,aarkhymovych@example.com
Заїка,Віолетта,Богданівна,жіноча,1952-10-25,Слідчий,місто Бахмач,"вулиця Травневий 1-й, буд. 51, Балта, 42446",972 41 04,trokhym38@example.com
Коваленко,Максим,Тарасович,чоловіча,2000-03-06,Етнограф,село Новодністровськ,"парк Моторний 3-й, буд. 19 кв. 473, Почаїв, 03376",+380 64 086-79-21,kbabych@example.org
Барабаш,Любов,Андріївна,жіноча,1945-02-03,Мікробіолог,село Дунаївці,"набережна Сумська, буд. 001, Середина-Буда, 09447",533 05 72,ikarpa@example.com
Андрійович,Одарка,Миколаївна,жіноча,1939-05-29,Кінокритик,село Полтава,"провулок Восьмого березня 5-й, буд. 961, Верхівцеве, 35445",+380 86 811 02 97,prykhodkobohuslav@example.org
Худяк,Валентин,Юрійович,чоловіча,1969-03-14,Прокурор,хутір Мар'їнка,"площа Шухевича Романа, буд. 70 кв. 6, Білицьке, 83315",+380 27 197-95-98,okhrim46@example.org
Скоробогатько,Валентина,Дмитрівна,жіноча,1985-06-27,Ювелір,хутір Мала Виска,"вулиця Кришталевий, буд. 445 кв. 13, Бережани, 16341",+380 84 019 63 78,kshchyrytsia@example.org
Валенко,Ліза,Русланівна,жіноча,1954-06-04,Електрослюсар,село Корсунь-Шевченківський,"набережна Маразліївська, буд. 7 кв. 1, Нова Каховка, 09112",233-39-61,lytvynmyroslav@example.org
Оробець,Іван,Русланович,чоловіча,1973-12-25,Патологоанатом,хутір Євпаторія,"проспект Чорноморська, буд. 54, Болехів, 90476",+380 (29) 860-44-43,khrystynafartushniak@example.com
Михалюк,Борислав,Петрович,чоловіча,1995-07-28,Євнух,село Андрушівка,"вулиця Сливова, буд. 165, Кремінна, 14289",+380 51 581 10 85,mykhailo67@example.org
Воблий,Данна,Петрівна,жіноча,1937-06-08,Гірник,місто Шепетівка,"шосе Вокзальний, буд. 6, Синельникове, 15854",043 269 19 96,oles22@example.com
Чабан,Захар,Дмитрович,чоловіча,1988-12-27,Акушер,село Великі Мости,"шосе Іванова Ігоря, буд. 51, Вознесенівка, 93534",096 752 69 04,arkadiisymonenko@example.net
Яременко,Златослава,Юріївна,жіноча,1980-12-22,Зоолог,село Бучач,"сквер Ракетна, буд. 684, Зугрес, 45489",320 69 80,xshyian@example.org
Бандура,Варвара,Федорівна,жіноча,1969-09-05,Бібліограф,село Вашківці,"набережна Нескучна, буд. 819, Гола Пристань, 40975",+380 (63) 232-90-00,tetianaiurchenko@example.com
Тимчук,Йосип,Тарасович,чоловіча,1929-12-31,Етнограф,хутір Буськ,"узвіз Молодіжна, буд. 216 кв. 2, Стрий, 75737",+380 92 627-51-39,stelmakhprokhir@example.org
Журавель,Святослава,Костянтинівна,жіноча,2001-11-16,Електрослюсар,місто Комарно,"проспект Троїцька, буд. 32 кв. 7, Свалява, 26999",+380 55 783 58 44,chuprynaleonid@example.org
Дзюба,Данна,Тарасівна,жіноча,1940-11-17,Дизайнер,хутір Бережани,"узвіз Навігаційний, буд. 60 кв. 91, Слов'янськ, 38375",+380 84 375-69-25,iakovenkoiustym@example.net
Притула,Вʼячеслав,Богданович,чоловіча,1935-09-01,Круп'є,селище Зіньків,"набережна Житкова, буд. 828 кв. 90, Попасна, 81070",+380 70 894 36 19,pdanylenko@example.com
Ярема,Пилип,Дмитрович,чоловіча,1974-03-29,Фрілансер,хутір Сокиряни,"вулиця Шептицікого, буд. 95 кв. 116, Красногорівка, 23252",+380 54 938-57-59,bchupryna@example.net
Медведенко,Богуслава,Юріївна,жіноча,1964-06-23,Кінорежисер,село Донецьк,"сквер Квітнева, буд. 761 кв. 800, Генічеськ, 39738",+380 11 889 59 03,zakhar21@example.com
Деряжна,Кирило,Михайлович,чоловіча,1975-04-03,Епідеміолог,хутір Прилуки,"узвіз Старорізнична, буд. 114 кв. 861, Корець, 32932",+380 48 964-81-66,chervonenkoboleslav@example.net
Жайворон,Михайлина,Іванівна,жіноча,1995-08-06,Дипломат,село Хуст,"проспект Спаський, буд. 8 кв. 034, Бучач, 85706",866 33 39,hupaloustym@example.com
Журба,Мілена,Вікторівна,жіноча,1977-01-21,Графік,село Володимир-Волинський,"парк Вчительської, 2-й, буд. 1 кв. 76, Заліщики, 38530",+380 56 725-53-79,iurchyshyndavyd@example.org
Онищенко,Віолетта,Іванівна,жіноча,1997-08-21,Редактор,село Бережани,"узвіз Проектна 2-га, буд. 5 кв. 537, Новомосковськ, 78720",+380 (22) 694-24-32,oksana79@example.net
Саченко,Артем,Тарасович,чоловіча,1985-11-19,Астрофізик,місто Жовті Води,"набережна Пересипська 10-та, буд. 467 кв. 6, Чорнобиль, 58858",+380 (61) 619-18-48,oleksandrzinchenko@example.com
Юхименко,Данна,Петрівна,жіноча,1978-02-17,Публіцист,місто Кропивницький,"парк Капітана Гаврікова, буд. 607, Корець, 51117",034 250 35 04,smykzlatoslava@example.com
Тарасенко,Адам,Сергійович,чоловіча,1981-01-04,Кур'єр,село Рожище,"парк Лінія 49-та, буд. 5 кв. 1, Ужгород, 20351",001-74-40,qavdieienko@example.com
Дерегус,Емілія,Вікторівна,жіноча,2002-06-23,Ветеринар,село Снігурівка,"вулиця Толбухіна, буд. 704, Теребовля, 84716",+380 85 881-29-31,danchenkoleon@example.com
Вівчаренко,Костянтин,Богданович,чоловіча,1992-11-07,Акушер,селище Бобринець,"проспект Сєрогодського, буд. 334, Селидове, 30844",647-52-85,olha10@example.org
Шморгун,Владислав,Захарович,чоловіча,1932-04-04,Кінокритик,хутір Щолкіне,"сквер Іспанська, буд. 147 кв. 72, Перечин, 67090",154-59-37,darynabezborodko@example.net
Ірванець,Аніта,Євгенівна,жіноча,1934-05-25,Економіст,селище Радивилів,"сквер Пляжна, буд. 273, Кременчук, 31588",983 62 95,slutsenko@example.net
Макаренко,Соломон,Богданович,чоловіча,1938-05-31,Живописець,селище Славутич,"парк Жаботинського, буд. 1 кв. 1, Надвірна, 71796",060 845-81-61,ada52@example.com
Цісик,Віра,Русланівна,жіноча,1985-07-16,Штукатур,місто Решетилівка,"площа Крайня, буд. 667, Кам'янське, 06483",949 74 67,nverhun@example.org
Бевз,Сергій,Захарович,чоловіча,1968-08-19,Мірошник,селище Новодружеськ,"шосе Хутірська, буд. 632 кв. 27, Костянтинівка, 17676",017 101 42 17,sonufriienko@example.org
Рябченко,Пантелеймон,Тарасович,чоловіча,1977-01-22,Драматург,хутір Гнівань,"сквер Вознесенський, буд. 65, Кремінна, 47620",460 86 55,taras65@example.org
Данькевич,Давид,Тарасович,чоловіча,1941-09-07,Конструктор,селище Географія Вільнянська,"парк Пастера, буд. 491, Путивль, 81494",014 942-41-07,myronlaba@example.org
Дубина,Федір,Федорович,чоловіча,1989-03-29,Психолог,село Шаргород,"шосе Мусіна, буд. 53 кв. 07, Яготин, 86414",032 214 25 83,antonkarpa@example.org
Байдак,Златослава,Дмитрівна,жіноча,1997-07-31,Дизайнер,хутір Первомайський ,"набережна Горіхова, буд. 53 кв. 9, Харків, 92322",406-53-28,sviatoslav04@example.com
Іщенко,Демʼян,Костянтинович,чоловіча,1931-11-11,Підприємець,селище Мерефа,"провулок Виноградна 1-ша, буд. 6, Ужгород, 57717",067 690 38 86,bohuslava62@example.org
Лавренко,Ігор,Леонідович,чоловіча,1948-02-25,Психолог,місто Підгородне,"шосе Леваневського, буд. 490 кв. 95, Херсон, 69094",019 673 86 46,vasylevychbohuslav@example.com
Цісик,Дмитро,Русланович,чоловіча,1999-03-07,Футболіст,село Бережани,"проспект Аеродромний 2-й, буд. 1, Рудки, 31163",+380 85 497-43-09,tsalii@example.com
Захаренко,Галина,Тарасівна,жіноча,1939-01-18,Складальник,село Любомль,"парк Пересипський міст, буд. 9 кв. 30, Горохів, 38075",+380 76 467-03-87,anastasiiakovpak@example.net
Євдокименко,Давид,Михайлович,чоловіча,1933-07-13,Археолог,село Миронівка,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 03 кв. 07, Жмеринка, 65716",+380 90 853-64-06,havrylo52@example.net
Василенко,Аврелій,Петрович,чоловіча,1993-09-29,Менеджер,селище Володимир-Волинський,"проспект Черешнева, буд. 037 кв. 0, Лутугине, 70822",+380 (32) 863-97-97,larysaonishchuk@example.net
Дуплій,Анжела,Дмитрівна,жіноча,2003-07-16,Громадський діяч,село Олександрія,"площа Флотський 4-й, буд. 9, Тлумач, 22893",121 16 00,anton31@example.com
Демʼяненко,Лукʼян,Вікторович,чоловіча,2008-07-01,Музичний редактор,місто Харцизьк,"провулок Житомирський 3-й, буд. 8 кв. 3, Ізяслав, 88612",+380 58 721 06 96,okseniia09@example.net
Дейсун,Христина,Олександрівна,жіноча,2004-05-15,Хореограф,селище Вилкове,"парк Госпітальний, буд. 2, Енергодар, 85399",245-76-76,zdeineko@example.org
Медведенко,Альберт,Захарович,чоловіча,1948-10-05,Хореограф,село Здолбунів,"вулиця Дальницьке, буд. 055, Новгород-Сіверський, 50133",053 235-88-55,marko40@example.net
Юрчишин,Онисим,Михайлович,чоловіча,1959-05-12,Золотар,хутір Лиман ,"шосе Чорноморський 2-й, буд. 673 кв. 70, Дубровиця, 98851",+380 31 970-63-24,zynoviilytvyn@example.com
Бевзенко,Богуслава,Русланівна,жіноча,1996-02-04,Художник,хутір Шпола,"провулок Бучми, буд. 7, Збараж, 21319",918-65-75,hordiitsybulenko@example.org
Зарудний,Галина,Іванівна,жіноча,1973-04-30,Електрик,селище Лутугине,"проспект Приморський, буд. 49, Пустомити, 36344",+380 (06) 587-53-33,vysochandmytro@example.org
Башполченко,Еріка,Федорівна,жіноча,1960-11-14,Біолог,місто Гола Пристань,"узвіз Цементний, буд. 82 кв. 217, Березне, 77685",001 212 55 30,valentynafesenko@example.com
Устенко,Левко,Тарасович,чоловіча,1941-12-19,Палеонтолог,хутір Нова Каховка,"площа Новоберегова, буд. 60, Хотин, 05702",056 400 33 77,oryna68@example.net
Безбородько,Панас,Русланович,чоловіча,2008-06-13,Епідеміолог,селище Берестечко,"парк Рожева, буд. 6 кв. 078, Кобеляки, 31337",+380 82 115 76 81,andriiovychalina@example.net
Ващук,Зиновій,Русланович,чоловіча,1968-03-16,Епідеміолог,хутір Кілія,"вулиця Раїси Сергієнко, буд. 019 кв. 13, Тростянець, 16023",013 083-58-57,qbarannyk@example.net
Дараган,Надія,Євгенівна,жіноча,1959-12-21,Кухар,хутір Почаїв,"набережна Басейний 1-й, буд. 4 кв. 92, Ковель, 10877",+380 (84) 732-33-71,bohdanpiatachenko@example.com
Алексеєнко,Ігор,Леонідович,чоловіча,1960-08-05,Фольклорист,місто Дебальцеве,"парк Восьмого Березня Лінія 5-та, буд. 05, Вугледар, 86537",070 852 73 86,giarosh@example.com
Луценко,Валерій,Андрійович,чоловіча,2002-08-14,Штукатур,хутір Гайворон,"сквер Обривиста, буд. 73, Генічеськ, 17223",055 258 17 70,syrotenkoemiliia@example.org
Атрощенко,Аніта,Богданівна,жіноча,1973-09-04,Археолог,село Боярка,"узвіз Некрасова, буд. 62 кв. 96, Ладижин, 93832",+380 (26) 643-83-90,onysymtsymbal@example.net
Самойленко,Зиновій,Тарасович,чоловіча,1942-02-11,Кінолог,село Бурштин ,"шосе Костанді 2-й, буд. 833, Калинівка , 66893",+380 66 189 77 14,bnosenko@example.org
Шиян,Анастасія,Григорівна,жіноча,1957-08-05,Співак,хутір Надвірна,"парк Тарутинська, буд. 9, Курахове, 20085",716 71 59,hnehoda@example.net
Заруба,Нестор,Дмитрович,чоловіча,1969-09-19,Етнограф,село Лутугине,"проспект Аеродромний 2-й, буд. 58 кв. 5, Богодухів, 04380",+380 04 132-72-43,svitlanashovkoplias@example.com
Асаула,Панас,Вікторович,чоловіча,1974-09-15,Футболіст,село Рогатин,"набережна Вернидуба, буд. 249 кв. 138, Керч, 65097",+380 86 473 34 67,andrii14@example.net
Гайдай,Надія,Тарасівна,жіноча,1988-04-10,Дантист,хутір Радехів,"площа Травневий, буд. 83, Тростянець, 66523",+380 49 243-19-05,olifirenkozynovii@example.org
Даценко,Августин,Богданович,чоловіча,1928-12-31,Менеджер,село Горішні Плавні,"площа Дунаєвського, буд. 471, Червоносів, 64419",+380 41 023-37-39,martemenko@example.net
Юрчишин,Ярослава,Григорівна,жіноча,1989-12-01,Випробувач,хутір Балаклія,"провулок 13-та ст. Великого Фонтану пляж, буд. 2, Дружківка, 56048",+380 (82) 492-23-72,plahoda@example.net
Дзиндра,Соломія,Ярославівна,жіноча,1943-04-28,Хімік,селище Горлівка,"набережна Пересипський 1-й, буд. 85 кв. 6, Коростишів, 24416",028 605-60-77,lubenetsstefan@example.com
Цюцюра,Данна,Костянтинівна,жіноча,1974-04-11,Машиніст,село Феодосія,"площа Обільний 2-й, буд. 5, Нетішин, 22124",+380 33 508-99-57,venedykttereshchuk@example.com
Теліженко,Богдан,Михайлович,чоловіча,1962-08-05,Лікар,місто Радехів,"сквер Юннатів, буд. 231 кв. 5, Олександрія, 87630",+380 86 057-62-80,wmishchenko@example.org
Лесик,Богодар,Ярославович,чоловіча,1993-05-11,Фольклорист,хутір Моршин,"площа Гонтаренко, буд. 8 кв. 961, Івано-Франківськ, 16201",228 80 95,iperepelytsia@example.com
Ґжицький,Надія,Леонідівна,жіноча,1948-09-22,Різноробочий,село Вовчанськ,"узвіз Короленка, буд. 94, Луганськ, 35291",+380 39 307-88-69,shtepaostap@example.org
Сомко,Микита,Григорович,чоловіча,1989-07-09,Мірошник,селище Дружківка,"узвіз Ванцетті, буд. 5 кв. 8, Кам'янка-Бузька, 53675",+380 (13) 101-63-76,ctereshchenko@example.org
Бабко,Богуслава,Богданівна,жіноча,2000-09-20,Няня,село Комарно,"проспект Толбухіна, буд. 4, Буськ, 81854",+380 (12) 639-69-97,iaremkooleh@example.net
Атаманюк,Климент,Федорович,чоловіча,2004-07-24,Секретар,хутір Шостка,"набережна Дачна, буд. 64 кв. 731, Олександрія, 16892",090-01-31,zalekseienko@example.net
Швачка,Дарина,Миколаївна,жіноча,1945-11-20,Модельєр,місто Харцизьк,"вулиця Проїзний 3-й, буд. 7 кв. 435, Дрогобич, 24867",019 271 13 30,zhukanton@example.org
Чорновіл,Федір,Леонідович,чоловіча,1991-01-27,Мовознавець,хутір Щастя ,"шосе Спортивна, буд. 313, Острог, 60134",508-94-73,fomenkohordii@example.com
Сич,Леонтій,Ярославович,чоловіча,1981-10-21,Ді-джей,хутір Ізяслав,"сквер Лейтенанта Шмідта, буд. 0 кв. 522, Мукачево, 03002",+380 20 045 42 36,roksolanalahoda@example.org
Акименко,Валентина,Євгенівна,жіноча,1939-08-29,Стропальник,селище Коломия,"проспект Юрія Олеші, буд. 516, Зугрес, 85771",+380 (08) 922-99-48,marusiashukhevych@example.com
Ватаманюк,Пріска,Дмитрівна,жіноча,1928-08-24,Філолог,хутір Перечин,"парк Івана Франка, буд. 25, Стебник, 46609",031 995 41 88,varvarastus@example.com
Дейнеко,Хома,Іванович,чоловіча,2007-08-16,Композитор,село Красноград,"парк Поштова, буд. 48 кв. 730, Докучаєвськ, 94909",+380 (01) 152-14-68,hshvedchenko@example.com
Василечко,Тимофій,Олександрович,чоловіча,1951-03-31,Ювелір,селище Корець,"вулиця Лінія 46-та, буд. 07 кв. 59, Коростишів, 77160",+380 24 589-08-83,ndakhno@example.org
Токар,Лариса,Дмитрівна,жіноча,1959-11-27,Реставратор,місто Каховка,"шосе Український 2-й, буд. 47, Кипуче, 04898",+380 19 580-83-32,liudmyla42@example.net
Рудько,Богуслава,Петрівна,жіноча,1943-05-29,Провізор,селище Броди,"площа Теліги Олени, буд. 916 кв. 119, Саки , 63281",+380 19 521 63 50,ruslanvlokh@example.com
Стельмах,Валентин,Ярославович,чоловіча,2003-09-08,Бібліограф,місто Липовець,"парк Луцька, буд. 99 кв. 85, Євпаторія, 36882",+380 23 563-11-01,marta61@example.org
Тимчук,Адам,Іванович,чоловіча,1963-05-21,Художник,хутір Апостолове,"площа Трудовий, буд. 30, Житомир, 73126",025 256-94-94,flytvynenko@example.net
Дейнеко,Гордій,Євгенович,чоловіча,1968-02-09,Географ,селище Прип'ять ,"шосе Складська, буд. 07 кв. 437, Українка , 29621",+380 31 049-87-56,zhaivoronvasyl@example.net
Шелест,Василина,Дмитрівна,жіноча,1958-06-20,Складальник,місто Мукачево,"шосе Суднобудівна, буд. 98 кв. 13, Старий Крим, 99919",027 024 59 25,vdankevych@example.org
Шило,Святослава,Миколаївна,жіноча,1988-04-12,Фермер,хутір Буча,"проспект Наявний 6-й, буд. 7 кв. 5, Вишгород, 26501",268 50 72,orest48@example.com
Дутка,Орися,Ярославівна,жіноча,1996-05-12,Зоолог,місто Березне,"площа Думська, буд. 81 кв. 43, Жидачів, 65298",+380 24 882 76 65,hmoskal@example.com
Тягнибок,Макар,Григорович,чоловіча,1933-08-03,Психолог,село Сміла,"шосе Авіаторів, буд. 15 кв. 57, Бобровиця, 48775",086 120-15-11,artem92@example.com
Гузій,Трохим,Дмитрович,чоловіча,1980-11-06,Живописець,місто Чугуїв,"набережна Віри Інбер, буд. 9, Городище , 87890",068 126 09 38,yiatsenko@example.com
Шутько,Петро,Юрійович,чоловіча,1976-08-21,Лікар,село Кілія,"вулиця Щіпний, буд. 7, Броди, 52145",+380 75 435 62 59,ihnat99@example.org
Ковалюк,Орхип,Сергійович,чоловіча,1941-04-21,Локсмайстер,село Авдіївка,"проспект 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 8, Болград, 59770",+380 69 796 74 20,edyta16@example.net
Тесля,Михайло,Сергійович,чоловіча,1956-01-28,Будник,місто Радомишль,"вулиця Глазунова, буд. 0 кв. 44, Алчевськ, 13280",017 463-15-54,edytasemenchenko@example.org
Канівець,Людмила,Ярославівна,жіноча,1948-04-19,Письменник,село Алупка,"сквер Східчастий 3-й, буд. 29 кв. 51, Нова Каховка, 17366",+380 79 428-00-06,hordii81@example.org
Жайворон,Євген,Федорович,чоловіча,1960-09-24,Економіст,селище Докучаєвськ,"провулок Східний 1-й, буд. 352 кв. 5, Маріуполь, 75666",790-99-82,pylypavramenko@example.net
Микитюк,Оксана,Дмитрівна,жіноча,1951-01-13,Фермер,місто Покровськ,"вулиця Виставочна, буд. 49, Миколаїв, 21448",+380 (01) 158-86-02,sementeslia@example.com
Шовкопляс,Єфрем,Русланович,чоловіча,1993-06-16,Художник,місто Копичинці,"набережна Степана Разіна, буд. 837, Кривий Ріг, 38922",+380 (32) 412-16-48,riaboshapkaiakiv@example.org
Ейбоженко,Ярина,Олександрівна,жіноча,2003-11-23,Електрослюсар,місто Підгайці,"парк Маяковського, буд. 65 кв. 6, Житомир, 55865",+380 59 827-83-05,svystunbohodar@example.net
Христич,Аврелій,Олександрович,чоловіча,1947-10-08,Паралегал,селище Горохів,"сквер Новаторів, буд. 5 кв. 3, Коломия, 49877",097 901-29-39,makohonvadym@example.org
Сірченко,Одарка,Михайлівна,жіноча,1933-05-29,Публіцист,хутір Генічеськ,"набережна Князівський, буд. 06, Ровеньки, 35004",022 399-74-98,snizhanabaidak@example.com
Чумак,Надія,Михайлівна,жіноча,1954-07-17,Електрослюсар,місто Пирятин,"узвіз Інглезі, буд. 0 кв. 88, Зміїв, 82210",010 371-60-56,iosyp60@example.org
Шухевич,Мартин,Миколайович,чоловіча,1985-03-03,Правник,хутір Знам'янка,"вулиця Інглезі, буд. 587 кв. 85, Буринь, 44842",+380 (49) 398-51-50,iaremkoparmen@example.com
Давиденко,Веніямин,Петрович,чоловіча,1962-05-30,Зоолог,хутір Хмельницький,"набережна Марата 1-й, буд. 1 кв. 9, Хоростків, 53959",036 63 84,ielysaveta35@example.com
Твердохліб,Ярослава,Дмитрівна,жіноча,1998-01-03,Зоолог,селище Почаїв,"провулок Чорноморський 10-й, буд. 7 кв. 72, Трускавець, 32859",+380 (11) 407-12-60,dzyndradanna@example.org
Данькевич,Василина,Михайлівна,жіноча,1935-12-15,Будник,хутір Дніпрорудне,"шосе Санаторний, буд. 8, Кілія, 49012",846 40 81,artiushenkobohuslava@example.org
Бабійчук,Мирон,Дмитрович,чоловіча,1980-10-20,Модель,село Українськ,"вулиця Єлисаветградський, буд. 550 кв. 3, Ніжин, 20749",226-38-03,borysdankevych@example.com
Царенко,Борислав,Захарович,чоловіча,1970-03-06,Ботанік,місто Василівка ,"сквер Геранієва, буд. 6, Болград, 02762",916 26 77,iakovenkoihor@example.net
Іващенко,Андрій,Захарович,чоловіча,1949-01-14,Літературознавець,село Суходільськ,"проспект Чумацька, буд. 9 кв. 928, Часів Яр, 61903",015 636 56 32,sliusartetiana@example.com
Ващенко,Емілія,Іванівна,жіноча,1929-07-13,Вчитель,хутір Новомиргород,"узвіз Вокзальна, буд. 28, Шостка, 58473",807 60 78,vsemenchenko@example.net
Скорик,Валерій,Вікторович,чоловіча,1967-04-19,Композитор,хутір Комарно,"парк Донецька, буд. 9 кв. 75, Вугледар, 95794",+380 24 543-75-40,stepaniurchuk@example.org
Асаула,Кирило,Сергійович,чоловіча,1936-07-30,Електрик,село Сєвєродонецьк,"набережна Восьмого Березня Лінія 5-та, буд. 5, Путивль, 40641",064 673-68-53,leonid00@example.com
Єременко,Олесь,Леонідович,чоловіча,1933-06-28,Зоолог,місто Хрустальний,"проспект Чорноморський 4-й, буд. 54, Кипуче, 45697",+380 24 005-15-33,mykhailyna29@example.net
Андрійчук,Розалія,Сергіївна,жіноча,1983-05-02,Клавішник,місто Ізюм,"шосе Академічна, буд. 34 кв. 206, Новий Калинів, 37012",865 29 82,khrystyna24@example.com
Гаєвська,Еріка,Леонідівна,жіноча,2002-04-18,Бухгалтер,село Ічня,"провулок Конструкторський, буд. 021, Верхньодніпровськ, 94681",067 366 61 58,hryhoriizhuravel@example.net
Авраменко,Борислав,Тарасович,чоловіча,1950-01-22,Модельєр,селище Гайсин,"узвіз Ясна, буд. 59 кв. 53, Оріхів, 95086",+380 51 971-05-80,vasyl49@example.org
Романенко,Соломія,Костянтинівна,жіноча,1963-05-06,Євнух,село Марганець ,"сквер Дунаєвського 1-й, буд. 899 кв. 907, Коломия, 99852",066 060-71-93,artymyshynielysei@example.org
Штокало,Емілія,Тарасівна,жіноча,1939-12-23,Правник,хутір Рава-Руська,"набережна Пересипський 2-й, буд. 376, Мукачево, 39924",590-22-50,nalyvaikoiustyna@example.org
Стус,Пріска,Юріївна,жіноча,1983-11-29,Біолог,хутір Іловайськ,"проспект Пішонівська, буд. 2, Броди, 54042",+380 68 034-27-96,babkobohdanna@example.org
Кармалюк,Назар,Григорович,чоловіча,1960-11-12,Няня,селище Святогірськ,"узвіз Маринеско узвіз, буд. 589, Володимир-Волинський, 26586",562 81 17,glysenko@example.net
Чумак,Єлисавета,Дмитрівна,жіноча,1959-04-27,Палеонтолог,селище Рені,"вулиця Водний, буд. 50, Приморськ (Україна), 15478",+380 89 527-94-55,priska11@example.net
Давимука,Демид,Петрович,чоловіча,1949-03-08,Геофізик,село Кролевець,"проспект Флотський 2-й, буд. 0 кв. 3, Кальміуське, 21878",035 495-62-39,solomiia25@example.org
Черінько,Аніта,Сергіївна,жіноча,1935-06-14,Бухгалтер,місто Герца,"шосе Запорізька, буд. 55, Апостолове, 58715",+380 53 736 30 86,mariana54@example.com
Ейбоженко,Данна,Леонідівна,жіноча,1963-06-12,Конструктор,село Рені,"сквер Соляний 1-й, буд. 66 кв. 81, Гайворон, 61418",064 133 18 36,shchorsoles@example.com
Тягнибок,Василина,Леонідівна,жіноча,1992-04-02,Промисловець,село Генічеськ,"провулок Лінійний, буд. 2 кв. 394, Іловайськ, 26614",+380 48 283 08 41,jverkhovynets@example.com
Дашкевич,Любов,Захарівна,жіноча,2003-08-28,Кінокритик,село Бережани,"провулок Херсонський сквер, буд. 071, Рені, 10240",346-96-04,okhrimshapoval@example.net
Ковпак,Зорян,Іванович,чоловіча,1951-10-10,Диригент,хутір Сарни,"вулиця Чумацька, буд. 6, Новоукраїнка, 75268",755-95-35,chuikostepan@example.com
Ірванець,Стефан,Петрович,чоловіча,1969-05-05,Фізик,село Канів,"провулок Західний 4-й, буд. 467 кв. 7, Миколаїв, 87437",+380 68 407-55-98,demyddashkevych@example.com
Вакуленко,Микита,Михайлович,чоловіча,1953-04-30,Кінокритик,село Нововолинськ,"проспект Ланжерон, буд. 4, Вінниця, 46358",+380 01 834 98 92,ivanchuiko@example.net
Джус,Богуслава,Тарасівна,жіноча,1956-01-06,Інженер,місто Чугуїв,"сквер Дорожня, буд. 9, Канів, 80808",313 74 34,lysenkodan@example.com
